Claim_ID,Policy_ID,Policy_Holder,Claim_Date,Claim_Type,Policy_Type,Claim_Amount,Reimbursed_Amount,Premium_Amount,Coverage_Amount,Location,Region,Rainfall_mm,Weather_Condition,Incident_Description,Claim_Channel,Customer_Age,Customer_Gender,Settlement_Status,Processing_Days,Fraud_Flag,Claim_Loss_Ratio
C8360-C,P20527-F,Purab Issac,2024-10-15,Property,Life,348234,348234,48230,463970,Kolkata,East,238,Light Rain,Crop Loss,Agent,26,Other,Settled,24,No,0.75
C1362-I,P80990-S,Arhaan Doctor,2024-06-13,Health,Property,115097,115097,42697,349103,Kolkata,East,69,Heavy Rain,Hospitalization,Agent,61,Other,Pending,30,Yes,0.33
C5095-G,P30018-J,Vidur Sehgal,2024-03-27,Property,Life,401310,401310,44387,686812,Mumbai,West,175,Moderate Rain,Crop Loss,Online,51,Male,Settled,27,No,0.58
C8073-I,P71513-T,Vihaan Kade,2024-09-09,Agriculture,Vehicle,96782,96782,35169,303754,Kolkata,East,287,Light Rain,Crop Loss,Online,61,Male,Pending,27,No,0.32
C8723-J,P30046-F,Ishita Bhasin,2024-07-06,Agriculture,Agriculture,280275,280275,8402,502321,Delhi,North,187,Heavy Rain,Crop Loss,Branch,31,Male,Pending,28,No,0.56
C5151-S,P15726-H,Purab Kalita,2024-03-06,Agriculture,Vehicle,229828,229828,25069,405361,Bangalore,South,80,Light Rain,Road Accident,Mobile App,53,Female,Settled,25,No,0.57
C3665-K,P13447-D,Kartik Dara,2024-06-05,Agriculture,Health,88259,88259,20677,267782,Delhi,North,261,Light Rain,Crop Loss,Agent,62,Male,Rejected,30,Yes,0.33
C5625-X,P19567-X,Kismat Bains,2024-07-21,Property,Health,143025,143025,45033,395507,Jaipur,North,76,Flood,Flood Damage,Online,65,Other,Pending,24,No,0.36
C4462-C,P50526-F,Jayesh Lata,2024-12-15,Property,Life,171411,171411,9114,453985,Jaipur,North,110,Heavy Rain,Hospitalization,Mobile App,53,Other,Rejected,7,Yes,0.38
C3459-D,P81865-A,Lavanya Dutta,2024-07-09,Property,Vehicle,341824,341824,6612,521208,Kolkata,East,159,Moderate Rain,House Damage,Agent,44,Male,Settled,11,No,0.66
C5043-A,P13812-P,Nirvaan Bhattacharyya,2024-08-14,Health,Health,135647,135647,10705,299322,Lucknow,North,215,Light Rain,Crop Loss,Mobile App,54,Female,Settled,15,No,0.45
C9820-E,P76511-A,Nishith Chatterjee,2024-02-03,Vehicle,Life,45979,45979,21240,158312,Mumbai,West,275,Heavy Rain,Road Accident,Online,31,Female,Settled,4,No,0.29
C7424-Y,P81486-K,Amani Choudhry,2024-03-13,Vehicle,Vehicle,121094,121094,37596,287580,Lucknow,North,129,Heavy Rain,House Damage,Online,64,Male,Settled,24,No,0.42
C4152-M,P81802-Z,Drishya Comar,2024-08-12,Agriculture,Life,107227,107227,45420,157271,Bangalore,South,104,Flood,House Damage,Branch,21,Female,Settled,23,No,0.68
C8301-U,P34361-B,Divit Soni,2024-01-04,Agriculture,Vehicle,270976,270976,36923,501606,Jaipur,North,128,Light Rain,Road Accident,Online,62,Male,Settled,8,No,0.54
C9145-Z,P98046-E,Saira Mann,2024-06-09,Agriculture,Agriculture,168511,168511,34852,223248,Delhi,North,247,Flood,Hospitalization,Mobile App,53,Other,Settled,21,No,0.75
C7105-I,P91557-X,Misha Balay,2024-10-11,Agriculture,Life,211346,211346,30683,323155,Ahmedabad,West,127,Moderate Rain,Road Accident,Agent,63,Female,Rejected,4,No,0.65
C3573-P,P12451-P,Kaira Dugar,2024-08-07,Agriculture,Property,209694,209694,33726,450219,Delhi,North,94,Heavy Rain,Crop Loss,Agent,29,Other,Settled,20,No,0.47
C8358-Q,P40567-A,Miraan Sur,2024-08-28,Vehicle,Property,120627,120627,16615,276282,Delhi,North,224,Heavy Rain,House Damage,Agent,51,Male,Rejected,20,No,0.44
C9338-K,P89922-Q,Raunak Kapur,2024-08-18,Health,Vehicle,125724,125724,12764,404768,Bangalore,South,206,Heavy Rain,Hospitalization,Agent,60,Other,Settled,8,No,0.31
C9631-S,P55558-R,Fateh Viswanathan,2024-06-17,Health,Vehicle,45746,45746,48459,341038,Jaipur,North,85,Moderate Rain,Crop Loss,Branch,43,Female,Settled,12,No,0.13
C1235-F,P72545-N,Rhea Chhabra,2024-05-12,Property,Agriculture,344199,344199,39211,409796,Lucknow,North,228,Moderate Rain,Road Accident,Mobile App,26,Female,Settled,14,No,0.84
C8493-Y,P33706-L,Nayantara Seth,2024-07-11,Health,Agriculture,60289,35885,6578,345858,Lucknow,North,240,Heavy Rain,House Damage,Online,48,Other,Settled,10,No,0.17
C4233-H,P52944-C,Charvi Rajagopalan,2024-03-29,Property,Agriculture,307021,194855,26619,538973,Hyderabad,South,166,Heavy Rain,Road Accident,Online,59,Other,Pending,18,No,0.57
C6880-O,P47306-C,Heer Karan,2024-08-21,Health,Agriculture,112313,112313,31588,165246,Kolkata,East,65,Heavy Rain,Road Accident,Mobile App,51,Male,Settled,6,No,0.68
C4132-N,P40322-Z,Ahana  Sunder,2024-07-19,Agriculture,Health,133227,133227,29571,224599,Delhi,North,134,Moderate Rain,Road Accident,Agent,64,Female,Settled,5,No,0.59
C1525-W,P65655-Z,Urvi Baria,2024-02-18,Agriculture,Agriculture,268031,268031,7193,321548,Delhi,North,110,Moderate Rain,Flood Damage,Online,51,Male,Rejected,23,No,0.83
C7548-F,P88726-Z,Rania Tata,2024-07-19,Property,Property,320532,320532,7058,441191,Hyderabad,South,227,Flood,Hospitalization,Branch,18,Male,Settled,13,No,0.73
C4826-L,P33879-H,Kabir Gola,2024-10-22,Agriculture,Agriculture,62503,62503,23183,220306,Lucknow,North,58,Moderate Rain,Crop Loss,Branch,21,Female,Settled,8,Yes,0.28
C5550-I,P53066-P,Ojas Kata,2024-04-16,Vehicle,Property,96785,96785,36214,348530,Bangalore,South,278,Flood,Crop Loss,Agent,69,Female,Pending,6,Yes,0.28
C6504-C,P57449-P,Nishith Virk,2024-03-04,Vehicle,Life,71621,71621,5928,330305,Kolkata,East,213,Flood,House Damage,Agent,23,Female,Settled,25,No,0.22
C7600-L,P49571-Q,Aayush Korpal,2024-06-15,Vehicle,Vehicle,147827,147827,32361,321663,Ahmedabad,West,56,Flood,Hospitalization,Branch,55,Male,Settled,13,No,0.46
C1146-T,P98036-K,Yashvi Bhattacharyya,2024-02-17,Vehicle,Life,54133,54133,42702,163876,Chennai,South,201,Flood,Flood Damage,Agent,46,Other,Pending,22,No,0.33
C7496-Y,P81849-Y,Aradhya Balakrishnan,2024-05-10,Vehicle,Vehicle,62545,62545,44416,307091,Hyderabad,South,109,Heavy Rain,Road Accident,Online,47,Female,Rejected,30,No,0.2
C1387-O,P38446-C,Sana Ratti,2024-03-09,Property,Life,476836,476836,37702,674386,Mumbai,West,226,Moderate Rain,House Damage,Mobile App,25,Male,Rejected,14,No,0.71
C9843-X,P67571-Q,Nehmat Sama,2024-06-29,Agriculture,Health,100149,78713,15021,378322,Lucknow,North,153,Flood,Road Accident,Mobile App,20,Female,Settled,10,No,0.26
C3017-R,P48649-H,Shaan Din,2024-10-04,Vehicle,Health,37979,37979,31226,134129,Lucknow,North,268,Light Rain,Flood Damage,Agent,36,Other,Pending,4,No,0.28
C3741-F,P15396-E,Nirvaan Mann,2024-01-03,Agriculture,Vehicle,71289,71289,24668,251388,Delhi,North,245,Heavy Rain,Road Accident,Agent,28,Female,Pending,5,No,0.28
C3137-C,P40054-A,Ira Bawa,2024-09-25,Property,Vehicle,402433,402433,21182,620323,Lucknow,North,115,Light Rain,House Damage,Online,45,Male,Settled,27,No,0.65
C9056-T,P83773-L,Dhanuk De,2024-03-12,Agriculture,Life,269265,269265,47378,424972,Ahmedabad,West,260,Flood,House Damage,Online,27,Female,Settled,4,No,0.63
C4547-A,P91844-P,Dhruv Bhattacharyya,2024-06-14,Agriculture,Vehicle,92661,69565,46541,179375,Delhi,North,102,Light Rain,Road Accident,Online,18,Female,Settled,21,No,0.52
C9697-M,P74225-E,Mehul Chawla,2024-07-30,Health,Vehicle,180470,180470,40523,360090,Kolkata,East,218,Light Rain,House Damage,Online,23,Female,Settled,9,No,0.5
C9921-T,P55344-W,Arhaan Sarma,2024-07-13,Vehicle,Agriculture,43304,32930,36758,129579,Jaipur,North,222,Moderate Rain,Crop Loss,Agent,42,Other,Pending,30,Yes,0.33
C7488-Z,P92344-V,Nirvaan Bumb,2024-07-02,Property,Agriculture,137410,137410,22566,197719,Pune,West,279,Moderate Rain,Flood Damage,Mobile App,65,Female,Settled,5,No,0.69
C1583-N,P53031-L,Kiaan Bhasin,2024-09-11,Agriculture,Life,154054,154054,47670,313766,Mumbai,West,167,Light Rain,Hospitalization,Agent,34,Male,Rejected,6,No,0.49
C2270-M,P79627-U,Bhavin Tandon,2024-10-30,Health,Life,76548,76548,14317,294790,Delhi,North,197,Moderate Rain,Flood Damage,Branch,33,Other,Settled,28,No,0.26
C3341-Q,P31531-K,Yashvi Yogi,2024-10-03,Property,Property,462325,462325,48872,591685,Pune,West,194,Flood,Crop Loss,Branch,28,Female,Settled,29,No,0.78
C3879-O,P76278-O,Dhruv Buch,2024-01-12,Property,Agriculture,296325,296325,15004,465252,Mumbai,West,212,Flood,Crop Loss,Branch,53,Other,Settled,14,No,0.64
C1811-X,P71965-I,Lavanya Mani,2024-02-08,Health,Property,168382,168382,37030,406228,Pune,West,110,Heavy Rain,House Damage,Mobile App,42,Male,Settled,27,No,0.41
C8338-Y,P10435-M,Onkar Wable,2024-03-13,Health,Life,62359,62359,39832,165505,Delhi,North,295,Light Rain,House Damage,Mobile App,57,Male,Pending,16,No,0.38
C5130-J,P26501-S,Anya Kata,2024-08-19,Agriculture,Health,88769,88769,29330,234342,Lucknow,North,188,Moderate Rain,Flood Damage,Branch,57,Other,Pending,25,No,0.38
C9523-N,P22409-U,Mohanlal Ramakrishnan,2024-01-22,Property,Vehicle,429685,296476,7358,712405,Mumbai,West,147,Moderate Rain,Hospitalization,Branch,66,Male,Settled,7,No,0.6
C6204-T,P15483-T,Adah Sandal,2024-06-27,Property,Health,274123,274123,46263,380666,Pune,West,205,Moderate Rain,House Damage,Agent,50,Other,Settled,4,No,0.72
